指标,进出口总额(人民币)(亿元),出口总额(人民币)(亿元),进口总额(人民币)(亿元),进出口差额(人民币)(亿元),进出口总额(美元)(百万美元),出口总额(美元)(百万美元),进口总额(美元)(百万美元),进出口差额(美元)(百万美元),数据来源：国家统计局
2020年,321557,179326,142231,37096,,,,,
2019年,315627.32,172373.63,143253.69,29119.94,4577891.07,2499482.09,2078408.98,421073.11,
2018年,305008.13,164127.81,140880.32,23247.49,4622415,2486682,2135734,350948,
2017年,278099.24,153309.43,124789.81,28519.62,4107138,2263345,1843793,419552,
2016年,243386.46,138419.29,104967.17,33452.12,3685557.41,2097631.19,1587926.22,509705,
2015年,245502.93,141166.83,104336.1,36830.73,3953032.72,2273468.22,1679564.5,593903.73,
2014年,264241.77,143883.75,120358.03,23525.72,4301527,2342293,1959235,383058,
2013年,258168.89,137131.43,121037.46,16093.98,4158993,2209004,1949989,259015,
2012年,244160.21,129359.25,114800.96,14558.29,3867119,2048714,1818405,230309,
2011年,236401.95,123240.56,113161.39,10079.16,3641864,1898381,1743484,154897,
2010年,201722.34,107022.84,94699.5,12323.34,2974001,1577754,1396247,181507,
2009年,150648.06,82029.69,68618.37,13411.32,2207535,1201612,1005923,195689,
2008年,179921.47,100394.94,79526.53,20868.41,2563255,1430693,1132562,298131,
2007年,166924.07,93627.14,73296.93,20330.2,2176175,1220060,956115,263944,
2006年,140974.74,77597.89,63376.86,14221.03,1760438,968978,791461,177517,
2005年,116921.77,62648.09,54273.68,8374.41,1421906,761953,659953,102001,
2004年,95539.09,49103.33,46435.76,2667.57,1154554,593326,561229,32097,
2003年,70483.45,36287.89,34195.56,2092.32,850988,438228,412760,25468,
2002年,51378.15,26947.87,24430.27,2517.6,620766,325596,295170,30426,
2001年,42183.62,22024.44,20159.18,1865.26,509651,266098,243553,22545,
